Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
198,Experimental Education Unit U of W,Haring Center,63,Experimental Education Unit-U of W,6,City of Seattle ,College/University - not child care,1959 N E Pacific St,Seattle,WA,98195,King,2062212910,Angela Erickson,aericks@uw.edu,2062215589,,18,36,69,"1959 N E Pacific St
Seattle, WA 98195
(47.650506, -122.307482)",Yes
"1,942",Onalaska,,1940,Onalaska School District,4,Centralia College,Public school or school district building,220 Sixth St. W,Onalaska,WA,98570,Lewis,3606238597,Jeff Davis,jdavis@onysd.wed.edu,3609784111,,27,36,69,"220 Sixth St W
Onalaska, WA 98570
(46.582386, -122.720722)",Yes
"2,042",,,2037,,"2,028",Early Learning Child Development Resources,Family Child Care Home,,,WA,99207,Spokane,,,,,,9,36,69,,Yes
311,Pe Ell,Pe Ell,97,Pe Ell School District,4,Centralia College,Public school or school district building,519 North 2nd Street,Pe Ell,WA,98572,Lewis,3606238950,Kyle MacDonald,kmacdonald@peell.k12.wa.us,3602913244,,9,36,69,"519 North 2nd Street
Pe Ell, WA 98572
(46.574447, -123.298923)",Yes
"2,250",SQUAXIN ISLAND CDC,,2249,"Squaxin Island Child Development Center, Inc.",15,ESD 113 - Sound to Harbor Early Learning Programs,Tribal Organization building,3851 SE OLD OLYMPIC HWY,SHELTON,WA,98584,Mason,3604261390,,,,,28,36,69,"3851 SE OLD OLYMPIC HWY
SHELTON, WA 98584
(47.128893, -123.097439)",Yes
"1,294",Clover Park Hillside ECEAP,Hillside Elementary,51,Clover Park School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,61700 Garcia Blvd,JBLM Lewis Main,WA,98433,Pierce,2535835280,Dan Benavides,dbenavid@cloverpark.k12.wa.us,2535835283x1,,38,36,69,"61700 Garcia Blvd
JBLM Lewis Main, WA 98433",Yes
267,Manchester,,,Direct Service Site,16,ESD 114 - Olympic ESD,Public school or school district building,1901 California Ave. E,Port Orchard,WA,98366,Kitsap,3604786889,Moe Akers,cakers@oesd114.org,3604433280,,34,36,69,"1901 California Ave E
Port Orchard, WA 98366
(47.551548, -122.556694)",Yes
352,South Whidbey,South Whidbey ECEAP,,Direct Service Site,"1,948",Skagit Valley College Head Start & ECEAP,Public school or school district building,5476 S Maxwelton Rd,Langley,WA,98260,Island,3603210696x5348,Julia Sewell,eceap.enrollment@skagit.edu,3602216808,,31,36,69,"5476 S Maxwelton Rd
Langley, WA 98260
(48.01277, -122.40963)",Yes
"2,310",Root's Daycare,,2304,Rochester Roots Daycare,15,ESD 113 - Sound to Harbor Early Learning Programs,Child Care Center Including Campus Child Care,9929 Hwy 12 SW,Rochester,WA,98579,Thurston,3608587338,April Root,rootape101@gmail.com,3608587338,,11,36,69,"9929 Hwy
SW Rochester, WA 98579",Yes
"1,959",Ninety-Ninth Center,,,Direct Service Site,10,Educational Opportunities for Children and Families,Head Start Facility,10002 NE 13th Avenue,Vancouver,WA,98686,Clark,3608969912,Clover Spears,clover.spears@eocfwa.org,3605672789,,36,36,69,"10002 NE 13th Avenue
Vancouver, WA 98686
(45.694035, -122.658459)",Yes
"2,239",,,2238,,17,ESD 121 - Puget Sound ESD,Family Child Care Home,,,WA,98409,Pierce,,,,,,0,36,69,,Yes
302,Orondo School District,,95,Orondo School District #13,5,Chelan-Douglas Child Services Association,Public school or school district building,100 Orondo School Road,Orondo,WA,98843,Douglas,5096620683x260,Lance Young,lyoung@orondo.wednet.edu,5097841333,,18,36,69,"100 Orondo School Road
Orondo, WA 98843
(47.640284, -120.216812)",Yes
"1,360",Centralia College ECEAP Annex,,,Direct Service Site,4,Centralia College,College/University - not child care,412 South Oak St Annex,Centralia,WA,98531,Lewis,3606238950,Teresa Schneider,teresa.schneider@centralia.edu,3606238603,,52,36,69,"412 South Oak St Annex
Centralia, WA 98531
(46.720677, -122.958824)",Yes
396,Woodlands,,,Direct Service Site,16,ESD 114 - Olympic ESD,Public school or school district building,7420 Central Valley Rd. Ne,Bremerton,WA,98311,Kitsap,3604786889,Marilou Gotier,mgotier@oesd114.org,3606629758,,18,36,69,"7420 Central Valley Rd Ne
Bremerton, WA 98311
(47.62964, -122.650187)",Yes
187,Federal Way Decatur ECEAP,Decatur High School ,64,Federal Way School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,2800 SW 320th St,Federal Way,WA,98023,King,2539452379,Ivona Radunovic,iradunovic@fwps.org,2539455242,,40,36,69,"2800 SW 320th St
Federal Way, WA 98023
(47.315183, -122.36858)",Yes
"2,167",Phantom Lake Child Care Center/ Bell Pub,Phantom Lake,,Direct Service Site,"1,964",Bellevue School District,Public school or school district building,1050 160TH AVE SE,Bellevue,WA,98008,King,4254564030,Alicia Brender,brendera@bsd405.org,4254564002,,30,36,69,"1050 160TH AVE SE
Bellevue, WA 98008
(47.599065, -122.126329)",Yes
"2,096",Crestline Elementary,Crestline ECEAP,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,13003 SE 7th St,Vancouver,WA,98683,Clark,3608969912,Daria Giuchici,daria.giuchici@eocfwa.org,3605672782,,10,36,69,"13003 SE 7th St
Vancouver, WA 98683
(45.616191, -122.539158)",Yes
"1,469",Loon Lake ECEAP,,,Direct Service Site,12,ESD 101 - NEW ESD,Public school or school district building,4001 Maple Street,Loon Lake,WA,99148,Stevens,5093232720,Brad Van Dyne,bvandyne@loonlakeschool.org,5092332212,,11,36,69,"4001 Maple Street
Loon Lake, WA 99148
(48.062941, -117.630519)",Yes
398,WSU Children Center,,133,WSU Children Center,7,Community Child Care Center,Child Care Center Including Campus Child Care,MS 643454,Pullman,WA,99164,Whitman,5093349290,Heather Havey,h.havey@wsu.edu,5093358847,,11,36,69,"643454 Pullman
WA 99164",Yes
"2,393",Methow,,,Direct Service Site,5,Chelan-Douglas Child Services Association,Non-Profit Organization Building,1321 Methow St,Wenatchee,WA,98801,Chelan,5096635179,Shannon Abbott,sabbott@cdcsa.com,5096635179,,36,36,69,"1321 Methow St
Wenatchee, WA 98801
(47.404778, -120.308435)",No
388,Warden Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,118 West 2nd Street,Warden,WA,98857,Grant,5093490395,Irene Pruneda,irene.pruneda@inspire-centers.org,5093490395,,40,36,69,"118 West 2nd Street
Warden, WA 98857
(46.968686, -119.040836)",Yes
"2,108",Enatai,,,Direct Service Site,"1,964",Bellevue School District,Public school or school district building,10700 SE 25th ST,Bellevue,WA,98004,King,4254564030,Leslie Oswald,oswaldl@bsd405.org,4254565212,,18,36,69,"10700 SE 25th ST
Bellevue, WA 98004
(47.58805, -122.19816)",Yes
394,Tacoma Whittier Elementary ECEAP,,120,Tacoma School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,777 Elm Tree Lane,Fircrest,WA,98466,Pierce,2535717569,Katy (Katrina) Brown,kbrown1@Tacoma.K12.WA.US,2535717574,,38,36,69,"777 Elm Tree Lane
Fircrest, WA 98466
(47.229392, -122.514396)",Yes
"2,350",Smokey Point Day Care and Early Learning Center,Smokey Point ELC,2349,Smokey Point Daycare and Early Learning Center,36,Snohomish County,Child Care Center Including Campus Child Care,3719 168th PLACE NE #E,Arlington,WA,98223,Snohomish,3606589421,Kathy Carman,smokeypointdaycare@yahoo.com,3606319076,,10,36,69,"3719 168th PLACE NE
E Arlington, WA 98223",Yes
"2,417",PCHS Eatonville,Eatonville Elementary School ECEAP,99,Pierce County Human Services,17,ESD 121 - Puget Sound ESD,Public school or school district building,209 Lynch Creek Rd E,Eatonville,WA,98328,Pierce,3608324892,Carolyn Jones,carolyn.jones@piercecountywa.gov,3608324892,,20,36,69,"209 Lynch Creek Rd E
Eatonville, WA 98328
(46.871094, -122.264721)",Yes
"2,177",Toppenish Preschool,,2176,Toppenish School District,13,ESD 105 - Yakima,Public school or school district building,407 Juniper St,Toppenish,WA,98948,Yakima,5098658179,Anastasia  Sanchez,sancheza@toppenish.wednet.edu,5098658179,,103,36,69,"407 Juniper St
Toppenish, WA 98948
(46.379688, -120.325421)",Yes
"2,182",Bethel Frederickson ECEAP,Frederickson Elementary,44,Bethel School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,17418 74th Ave East,Puyallup,WA,98375,Pierce,2538006304,Jackie Richards,jarichards@bethelsd.org,2538005558,,9,36,69,"17418 74th Ave East
Puyallup, WA 98375
(47.099257, -122.330793)",Yes
"1,444",Birchwood,,,Direct Service Site,30,Opportunity Council,Public school or school district building,3200 Pinewood Ave,Bellingham,WA,98225,Whatcom,3606766466,Shoshana Dugger,shoshana_dugger@oppco.org,3607348396,,18,36,69,"3200 Pinewood Ave
Bellingham, WA 98225
(48.775017, -122.506653)",Yes
"2,192",INACTIVE Federal Way Totem ECEAP,Totem Middle School,64,Federal Way School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,26630 40th Ave South,Kent,WA,98032,King,2539455100,Rebecca Padilla,rpadilla@fwps.org,2539455882,,0,36,69,"26630 40th Ave South
Kent, WA 98032
(47.362394, -122.283878)",No
"2,295",SAUK SUIATTLE TRIBE,Sauk-Suiattle Tribe,2294,Sauk-Suiattle Tribe,36,Snohomish County,Tribal Organization building,5318 CHIEF BROWN LANE,DARRINGTON,WA,98241,Skagit,3604361854,Tanya Burns,tburns@sauk-suiattle.com,3604361854,,10,36,69,"5318 CHIEF BROWN LANE
DARRINGTON, WA 98241
(48.319458, -121.551042)",Yes
"2,346",Cle Elum-Roslyn Preschool,,2345,Cle Elum-Roslyn School District,13,ESD 105 - Yakima,Public school or school district building,2696 SR 903,Cle Elum,WA,98922,Kittitas,5095752885,Carrieanne Selzler,selzlerc@cersd.org,5096494807,,18,36,69,"2696 SR
Cle Elum, WA 98922",No
266,LCC East ECEAP,LCC East & West ,,Direct Service Site,24,Lower Columbia College,Head Start Facility,1600 Maple Street,Longview,WA,98632,Cowlitz,3604422800,Mindy Leasure,mleasure@lowercolumbia.edu,3604422801,,119,36,69,"1600 Maple Street
Longview, WA 98632
(46.141349, -122.938519)",Yes
322,Quillayute Valley School District,Forks,102,Quillayute Valley School District,28,Olympic Community Action Programs,Public school or school district building,301 S Elderberry,Forks,WA,98331,Clallam,3604524726,Diana Reaume,Diana.Reaume@qvschools.org,3603746262,,51,36,69,"301 S Elderberry Forks
WA 98331
(47.948331, -124.379666)",Yes
147,Basin City Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,281 First Avenue,Mesa,WA,99343,Franklin,5092694031,Lucia Herrera,lucia.herrera@inspire-centers.org,5092694031,,35,36,69,"281 First Avenue
Mesa, WA 99343
(46.592027, -119.150063)",Yes
"2,130",GREEN GABLE CHILDRENS LEARNING CENTER,GG-South-Waterford Court,2129,Green Gable Childrens Learning Center South,12,ESD 101 - NEW ESD,Child Care Center Including Campus Child Care,1722 E 32ND COURT,SPOKANE,WA,99203,Spokane,5093232720,Carrie Marks,greengable.carrie@gmail.com,5094556110,,15,36,69,"1722 E 32ND COURT
SPOKANE, WA 99203
(47.625457, -117.385018)",Yes
"2,225",Inspire Development Centers - Kennewick,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,16 North Huntington,Kennewick,WA,99336,Benton,8778214113,Patricia Mendoza Rodriguez,patricia.mendozarodriguez@inspire-centers.org,5092694031,,85,36,69,"16 North Huntington
Kennewick, WA 99336
(46.210363, -119.162279)",Yes
354,Bethel Spanaway ECEAP,Bethel Spanaway Elementary ,44,Bethel School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,412 165th St. S,Spanaway,WA,98387,Pierce,2536835369,Carol Hogan,chogan@bethelsd.org,2538005369,,36,36,69,"412 165th St S
Spanaway, WA 98387
(47.107677, -122.438304)",Yes
"2,407",Denise Louie Education Center Beacon Hill,,,Direct Service Site,"2,338",Denise Louie Education Center,Non-Profit Organization Building,3327 BEACON AVE S,Seattle,WA,98144,King,2067678223,Heidi Jensen,hjensen@deniselouie.org,2067259740,,11,36,69,"3327 BEACON AVE S
Seattle, WA 98144
(47.573409, -122.308714)",Yes
288,Multicultural Child & Family Hope Center,,88,Multicultural Child & Family Hope Center,17,ESD 121 - Puget Sound ESD,Child Care Center Including Campus Child Care,2021 SOUTH 19TH STREET,TACOMA,WA,98405,Pierce,2532720903,Mary Johnson,majohnson@mcfhc.org,2532720942,2532976401,118,36,69,"2021 SOUTH 19TH STREET
TACOMA, WA 98405
(47.242691, -122.464032)",Yes
193,Otis Orchards Elementary,,55,East Valley School District,8,Community Colleges of Spokane,Public school or school district building,22000 E. Wellesley Ave,Otis Orchards,WA,99027,Spokane,5098934125,Karen  Cloninger,cloningerk@evsd.org,5092415045,,35,36,69,"22000 E Wellesley Ave
Otis Orchards, WA 99027
(47.700367, -117.109806)",Yes
263,Liberty Park Community Development Center,Liberty Park,77,Liberty Park Community Development Center,8,Community Colleges of Spokane,Non-Profit Organization Building,1417 E Hartson Ave,Spokane,WA,99202,Spokane,5095340957,Ivy Chetverikov,Ivy@libertyparkkids.org,5095340957,,40,36,69,"1417 E Hartson Ave
Spokane, WA 99202
(47.649973, -117.389088)",Yes
"2,317",VOA-Sultan 2,VOA Sultan 2,130,Volunteers of America,36,Snohomish County,Non-Profit Organization Building,705 1st ST,Sultan,WA,98294,Snohomish,4252122941,Jessica Marburger,jmarburger@voaww.org,4252122941,,20,36,69,"705 1st ST
Sultan, WA 98294
(47.868093, -121.820721)",Yes
"2,287",Childhaven Brigadoon,,2189,Childhaven,17,ESD 121 - Puget Sound ESD,Public school or school district building,3601 SW 336th,Federal Way,WA,98023,King,2532492073,Kelly Emery,kellye@childhaven.org,2532492076,,12,36,69,"3601 SW 336th Federal Way
WA 98023
(47.300735, -122.378238)",Yes
191,East Port Orchard Elementary,,,Direct Service Site,16,ESD 114 - Olympic ESD,Public school or school district building,1964 Hoover Ave Se,Port Orchard,WA,98366,Kitsap,3604786889,Beth Bowen-Wegner,bwegner@oesd114.org,3604433204,,17,36,69,"1964 Hoover Ave Se
Port Orchard, WA 98366
(47.525996, -122.62666)",Yes
"1,966",Tacoma Bryant Elementary,,120,Tacoma School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,717 South Grant Avenue,Tacoma,WA,98405,Pierce,2535712615,Kristyne Brabham,kbrabha@tacoma.k12.wa.us,2535712857,,31,36,69,"717 South Grant Avenue
Tacoma, WA 98405
(47.254841, -122.461191)",Yes
"1,370",SWCCC CENTRAL PARK,,,Direct Service Site,14,ESD 112 - Vancouver,Child Care Center Including Campus Child Care,2115 EAST MCLOUGHLIN,VANCOUVER,WA,98661,Clark,3609523470,,,,,13,36,69,"2115 EAST MCLOUGHLIN
VANCOUVER, WA 98661
(45.632346, -122.648911)",Yes
329,Republic ECEAP,,,Direct Service Site,12,ESD 101 - NEW ESD,Public school or school district building,30306 E. Hwy. 20,Republic,WA,99166,Ferry,5097753327x125,Carolann Gutierrez,cguttierrez@republicsd.org,5097753327,,16,36,69,"30306 E Hwy
Republic, WA 99166",Yes
283,Moses Lake Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,1109 Juniper Drive,Moses Lake,WA,98837,Grant,5097666440,Sonia Ozuna,sonia.ozuna@inspirecenters.org,5097666440,,80,36,69,"1109 Juniper Drive
Moses Lake, WA 98837",Yes
363,Stevens Elementary School,Stevens Elementary,,Direct Service Site,2,Aberdeen School District,Public school or school district building,301 S Farragut St.,Aberdeen,WA,98520,Grays Harbor,3605382251,Missy Smith,msmith@asd5.org,3605382150,,22,36,69,"301 S Farragut St
Aberdeen, WA 98520
(46.966744, -123.789052)",Yes
240,Hoquiam - Lincoln School,Lincoln Elementary School,68,Hoquiam School District,2,Aberdeen School District,Public school or school district building,700 Wood Ave,Hoquiam,WA,98550,Grays Harbor,3605377403,Marah Gannaway,mgannaway@hoquiam.net,3605388250,,28,36,69,"700 Wood Ave
Hoquiam, WA 98550
(46.99188, -123.888149)",Yes
"2,410",Alderwood,,,Direct Service Site,30,Opportunity Council,Public school or school district building,3400 Hollywood Ave,Bellingham,WA,98225,Whatcom,3607348396,Shawna Lovell,shawna_lovell@oppco.org,3607348396,,18,36,69,"3400 Hollywood Ave
Bellingham, WA 98225
(48.778148, -122.527646)",Yes
257,Lake Quinault School District,,,Direct Service Site,22,Lake Quinault School District,Public school or school district building,6130 US Highway 101,Amanda Park,WA,98526,Grays Harbor,3602882414x420,Margaret Santa Lucia,msantalucia@lakequinaultschools.org,3602882414x430,,19,36,69,"6130 US Highway 101 Amanda Park
WA 98526",Yes
"2,319",YWCA West Plains ECEAP,,139,YWCA of Spokane,8,Community Colleges of Spokane,Non-Profit Organization Building,13513 W 6th Avenue,Airway Heights,WA,99001,Spokane,5092444833,Jahmia Lujan ,jahmial@ywcaspokane.org,5092444833,,54,36,69,"13513 W 6th Avenue
Airway Heights, WA 99001
(47.649998, -117.598525)",Yes
"2,395",Cashmere Vale,,2343,Cashmere School District,5,Chelan-Douglas Child Services Association,Public school or school district building,210 S Division St,Cashmere,WA,98815,Chelan,5096635179,Shannon Abbott,sabbott@cdcsa.com,5096635179,,25,36,69,"210 S Division St
Cashmere, WA 98815
(47.520305, -120.469974)",No
379,Tulalip Tribes,Tulalip ECEAP  Betty J. Taylor Early learning Academy,127,Tulalip Tribes,36,Snohomish County,Tribal Organization building,7607 Totem Beach Road,Tulalip,WA,98271,Snohomish,3607164273,Stephanie Pitman,spitman@tulaliptribes-nsn.gov,3607164273,,72,36,69,"7607 Totem Beach Road
Tulalip, WA 98271
(48.065079, -122.285258)",Yes
"1,499",Yesler Terrace,Epstein Opportunity Center,,Direct Service Site,711,Neighborhood House,Non-Profit Organization Building,120 8th Ave,Seattle,WA,98104,King,2064618430x247,Shara Glithero,sharag@nhwa.org,2532281659,,20,36,69,"120 8th Ave
Seattle, WA 98104
(47.602399, -122.322464)",Yes
242,Jane's House Easter Seals at YVCC,,613,Easter Seals at YVCC,13,ESD 105 - Yakima,Child Care Center Including Campus Child Care,1101 S 13TH AVE,YAKIMA,WA,98902,Yakima,5095744762,Tomi Barragan,Tbarragan90@gmail.com,5095946954,,19,36,69,"1101 S 13TH AVE
YAKIMA, WA 98902
(46.585234, -120.526404)",Yes
229,Harrah Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Child Care Center Including Campus Child Care,7871 Branch Road,Harrah,WA,98933,Yakima,5098483422,Josefina Venegas,josefina.venegas@inspire-centers.org,5098483422,,29,36,69,"7871 Branch Road
Harrah, WA 98933
(46.404636, -120.542674)",Yes
211,EPS Hawthorne,,62,Everett Public Schools,36,Snohomish County,Public school or school district building,1110 Poplar St,Everett,WA,98201,Snohomish,4253854627,Julie Boyer,jboyer2@everettsd.org,4253854627,,80,36,69,"1110 Poplar St
Everett, WA 98201
(48.002921, -122.195175)",Yes
156,Tacoma Boze Early Childhood Center ECEAP,,120,Tacoma School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,1140 E 65th Street,Tacoma,WA,98404,Pierce,2535714675,Michelle Rahl-Lewis,mlewis1@tacoma.k12.wa.us,2535712615,,38,36,69,"1140 E 65th Street
Tacoma, WA 98404
(47.198139, -122.413618)",Yes
310,Pasco 1 Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,315 W Court St,Pasco,WA,99301,Franklin,5095477882,Letty Ramirez,leticia.ramirez@inspirecenters.org,5095477882,,40,36,69,"315 W Court St
Pasco, WA 99301
(46.241238, -119.091946)",Yes
"2,228",Finley Elementary School,,,Direct Service Site,"1,364",ESD 123,Public school or school district building,213504 E Cougar Rd,Kennewick,WA,99337,Benton,5095445770,Tammy Moody,tmoody@esd123.org,5093802812,,19,36,69,"213504 E Cougar Rd
Kennewick, WA 99337
(46.143062, -119.052437)",Yes
284,Mount Vernon Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,2405 KULSHAN DRIVE,Mount Vernon,WA,98273,Skagit,3604283993,Janet Cervantes Nava,janet.cervantesnava@inspirecenters.org,3604283993,,92,36,69,"2405 KULSHAN DRIVE Mount
Vernon, WA 98273
(48.433014, -122.311379)",Yes
"1,973",Tender Moments,,,Direct Service Site,"1,947",Tender Moments LLC Daycare & Preschool,Child Care Center Including Campus Child Care,9111 346TH STREET,ROY,WA,98580,Pierce,3604589224,Lisa Gorley,tendermomentsdaycare@hotmail.com,3604589224,,36,36,69,"9111 346TH STREET
ROY, WA 98580
(46.943256, -122.55192)",Yes
"2,382",College Place ECEAP,,,Direct Service Site,"1,364",ESD 123,Public school or school district building,255 SE Larch,College Place,WA,99324,Walla Walla,5095445767,Jenyfer Reese,jreese@wwps.org,5095261781,,15,36,69,"255 SE Larch College Place
WA 99324
(46.047591, -118.378174)",Yes
"2,331",LCC HOME & FAMILY,LCC ELC,,Direct Service Site,24,Lower Columbia College,Child Care Center Including Campus Child Care,1600 MAPLE,LONGVIEW,WA,98632,Cowlitz,3604422805,Kari Johnson,kmjohnson@lcc.ctc.edu,3604422890,,17,36,69,"1600 MAPLE
LONGVIEW, WA 98632
(46.141349, -122.938519)",Yes
275,Mattawa Child Development Center,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,310 4th Street,Mattawa,WA,99349,Grant,5099324401,Maribel Gomez Aguilar,maribel.gomezaguiar@inspire-centers.org,5098378909,,40,36,69,"310 4th Street
Mattawa, WA 99349
(46.734198, -119.903498)",Yes
192,East Farms Elementary,,55,East Valley School District,8,Community Colleges of Spokane,Public school or school district building,26203 E Rowan,Newman Lake,WA,99025,Spokane,5098934122,Karen  Cloninger,cloningerk@evsd.org,5092415045,,32,36,69,"26203 E Rowan Newman Lake
WA 99025
(47.707663, -117.054999)",Yes
"2,358",Keene-Riverview,,,Direct Service Site,"1,364",ESD 123,Public school or school district building,832 Park Avenue ,Prosser,WA,99350,Benton,5095445767,Tammy Moody,tmoody@esd123.org,5093802812,,20,36,69,"832 Park Avenue
Prosser, WA 99350
(46.200341, -119.774984)",Yes
143,Arlington SD,APPLE ECEAP Preschool,42,Arlington School District,36,Snohomish County,Public school or school district building,1215 E 5th St,Arlington,WA,98223,Snohomish,3606186434,Carrie Saunders,csaunders@asd.wednet.edu,3606186434,,75,36,69,"1215 E 5th St
Arlington, WA 98223
(48.197726, -122.113573)",Yes
221,Garfield,Garfield,65,Garfield School District,7,Community Child Care Center,Public school or school district building,810 N 3rd Street,Garfield,WA,99130,Whitman,5093349290,Zane Wells,zwells@garpal.net,5096351331,,7,36,69,"810 N 3rd Street
Garfield, WA 99130
(47.013733, -117.140834)",Yes
154,Boistfort Elementary School,,46,Boistfort Elementary,4,Centralia College,Public school or school district building,983 Boistfort Rd,Curtis,WA,98538,Lewis,3606238950,Chris Clark,cclark@boistfort.k12.wa.us,3602453343,,2,36,69,"983 Boistfort Rd
Curtis, WA 98538
(46.550039, -123.133852)",Yes
"2,093",West Valley Early Learning Center,,131,West Valley School District,8,Community Colleges of Spokane,Public school or school district building,2523 N Park Road,Spokane Valley,WA,99212,Spokane,5099225478,Lauren Fiedler,lauren.fiedler@wvsd.org,5093407114,,65,36,69,"2523 N Park Road
Spokane Valley, WA 99212
(47.680297, -117.30404)",Yes
190,Granger School District,Early Childhood Center,,Direct Service Site,19,Granger School District,Public school or school district building,601 E Ave.,Granger,WA,98932,Yakima,5098542512,Graciela Madrigal,madrigalg@gsd.wednet.edu,5098542512,,76,36,69,"601 E Ave
Granger, WA 98932
(46.345298, -120.188241)",Yes
"2,188",Clover Park Hayes Child Development Center,Clover Park Technical College,2187,Clover Park Tech College,17,ESD 121 - Puget Sound ESD,Child Care Center Including Campus Child Care,4500 STEILACOOM BLVD SW # 20,LAKEWOOD,WA,98499,Pierce,2535895721,,,,,36,36,69,"4500 STEILACOOM BLVD SW
LAKEWOOD, WA 98499
(47.176526, -122.506554)",Yes
219,Fruit Valley,Fruit Valley,,Direct Service Site,10,Educational Opportunities for Children and Families,Public school or school district building,3410 NW Fruit Valley Rd,Vancouver,WA,98660,Clark,3605672720,Pamela Graham,pamela.graham@eocfwa.org,3605671691,,18,36,69,"3410 NW Fruit Valley Rd
Vancouver, WA 98660
(45.647118, -122.692366)",Yes
375,Tiny Tots Development Center - East Campus,,125,Tiny Tots Development Center,6,City of Seattle ,Child Care Center Including Campus Child Care,8318 Renton Ave S.,Seattle,WA,98118,King,2067231590,Jacqualine Boles,jboles@tinytotsdc.org,2067602670,,40,36,69,"8318 Renton Ave S
Seattle, WA 98118
(47.528518, -122.27794)",Yes
"2,297",Northshore Hollywood Hill ECEAP,Hollywood Hill ECEAP,2296,Northshore School District,17,ESD 121 - Puget Sound ESD,Public school or school district building,17110 148th Ave NE,Woodinville,WA,98072,King,4254085700,Sheriece Simon,ssimon@nsd.org,4254084740,,57,36,69,"17110 148th Ave NE
Woodinville, WA 98072
(47.752594, -122.141698)",Yes
204,Endicott,,59,Endicott School District,7,Community Child Care Center,Public school or school district building,308 School Drive,Endicott,WA,99125,Whitman,5093349290,Bruce  Porubek,borubek@sje.wednet.edu,5096573523,5096483451,8,36,69,"308 School Drive
Endicott, WA 99125",Yes
176,Orcas Island Childrens House,Children's House,50,Children's House,33,San Juan County ECEAP,Child Care Center Including Campus Child Care,36 PEA PATCH LANE,EASTSOUND,WA,98245,San Juan,3603700593,Ady Walker,ady@oich.org,3603764744,,7,36,69,"36 PEA PATCH LANE
EASTSOUND, WA 98245
(48.699865, -122.907409)",Yes
"2,374",,,2359,,"2,028",Early Learning Child Development Resources,Family Child Care Home,,,WA,99141,Stevens,,,,,,1,36,69,,Yes
"2,415",Pear Street Early Learning Center,Early Learning Center ,,Direct Service Site,4,Centralia College,College/University - not child care,910 W. Pear St.,Centralia ,WA,98531,Lewis,3606238950,Geana  Dobyns,geana.dobyns@centralia.edu,3606238742,,99,36,69,"910 W Pear St
Centralia, WA 98531
(46.715407, -122.965807)",Yes
385,VOA-Sultan - ECEAP,AM,130,Volunteers of America,36,Snohomish County,Non-Profit Organization Building,605 1st ST,Sultan,WA,98294,Snohomish,4252122941,Jessica Marburger,jmarburger@voaww.org,4252122941,,40,36,69,"605 1st ST
Sultan, WA 98294
(47.867393, -121.820698)",Yes
"1,573",MacArthur,MacArthur,,Direct Service Site,10,Educational Opportunities for Children and Families,Non-Profit Organization Building,5300 MacArthur Blvd.,Vancouver,WA,98661,Clark,3605672720,Michelle Strosahl,michelle.strosahl@eocfwa.org,3607188074,,35,36,69,"5300 MacArthur Blvd
Vancouver, WA 98661
(45.626409, -122.616542)",Yes
355,Springdale,Springdale,82,Mary Walker School District,32,Rural Resources Community Action,Public school or school district building,500 N 4th Street,Springdale,WA,99173,Stevens,5099354315,Brandi Armstrong,barmstrong@ruralresources.org,5096856105,,9,36,69,"500 N 4th Street
Springdale, WA 99173
(48.05936, -117.746961)",Yes
342,Sea Mar Community Health Center,,112,Sea Mar Comm Health CTR,6,City of Seattle ,Child Care Center Including Campus Child Care,1040 S. HENDERSON STREET,SEATTLE,WA,98108,King,2067883245,Diana Elenes,dianaelenes@seamarchc.org,2067883245,,75,36,69,"1040 S HENDERSON STREET
SEATTLE, WA 98108
(47.523048, -122.31865)",Yes
"2,247",Inspire-Sunnyside II CDC,,,Direct Service Site,41,Inspire Development Centers,Head Start Facility,605 N. 16th Street,Sunnyside,WA,98944,Yakima,5095152116,Arminda Caballero-Cervantes,arminda.caballero-cervantes@inspire-centers.org,5095152116,,15,36,69,"605 N 16th Street
Sunnyside, WA 98944
(46.332597, -119.999164)",Yes
